Orthogroup	NBI_Gossypium_hirsutum_v1.1	Zea_mays.B73_RefGen_v4
OG0000000	Gh_A04G0204	Zm00001d043257
OG0000000	 Gh_D05G3500	Zm00001d043257
OG0000000	 Gh_D01G0546	Zm00001d043257
OG0000000	 Gh_A01G0533	Zm00001d043257
OG0000000	Gh_D01G0256	Zm00001d021727
OG0000000	Gh_D01G0256	 Zm00001d021729
OG0000000	 Gh_D01G0263	Zm00001d021727
OG0000000	 Gh_D01G0263	 Zm00001d021729
OG0000000	 Gh_Sca007070G01	Zm00001d021727
OG0000000	 Gh_Sca007070G01	 Zm00001d021729
OG0000000	 Gh_D01G0268	Zm00001d021727
OG0000000	 Gh_D01G0268	 Zm00001d021729
OG0000000	 Gh_A01G0254	Zm00001d021727
OG0000000	 Gh_A01G0254	 Zm00001d021729
OG0000000	 Gh_D01G0262	Zm00001d021727
OG0000000	 Gh_D01G0262	 Zm00001d021729
OG0000000	 Gh_D01G0265	Zm00001d021727
OG0000000	 Gh_D01G0265	 Zm00001d021729
OG0000000	 Gh_D01G0252	Zm00001d021727
OG0000000	 Gh_D01G0252	 Zm00001d021729
OG0000000	 Gh_D01G0260	Zm00001d021727
OG0000000	 Gh_D01G0260	 Zm00001d021729
OG0000000	 Gh_D01G0254	Zm00001d021727
OG0000000	 Gh_D01G0254	 Zm00001d021729
OG0000000	 Gh_D01G0264	Zm00001d021727
OG0000000	 Gh_D01G0264	 Zm00001d021729
OG0000000	 Gh_D01G0261	Zm00001d021727
OG0000000	 Gh_D01G0261	 Zm00001d021729
OG0000000	 Gh_D01G0257	Zm00001d021727
OG0000000	 Gh_D01G0257	 Zm00001d021729
OG0000000	 Gh_D01G0255	Zm00001d021727
OG0000000	 Gh_D01G0255	 Zm00001d021729
OG0000000	 Gh_A08G2301	Zm00001d021727
OG0000000	 Gh_A08G2301	 Zm00001d021729
OG0000000	 Gh_D08G2351	Zm00001d021727
OG0000000	 Gh_D08G2351	 Zm00001d021729
OG0000000	 Gh_D06G1318	Zm00001d021727
OG0000000	 Gh_D06G1318	 Zm00001d021729
OG0000000	 Gh_D10G2645	Zm00001d021727
OG0000000	 Gh_D10G2645	 Zm00001d021729
OG0000000	 Gh_A10G0170	Zm00001d021727
OG0000000	 Gh_A10G0170	 Zm00001d021729
OG0000000	 Gh_D09G0685	Zm00001d021727
OG0000000	 Gh_D09G0685	 Zm00001d021729
OG0000000	 Gh_A09G0676	Zm00001d021727
