NBI_Gossypium_hirsutum_v1.1	Zea_mays.B73_RefGen_v4_OMA	OMA_mapping	OMA_groups
Gh_A02G0589	Zm00001d008360	1:m	1043560
Gh_A13G1387	Zm00001d015204	1:m	1043559
Gh_D01G0363	Zm00001d043465	1:m	1043544
Gh_D09G0214	Zm00001d000213	1:m	1043527
Gh_D04G0362	Zm00001d053861	1:m	1043526
Gh_A12G2092	GRMZM5G879235	1:m	1043504
Gh_A10G0806	Zm00001d022197	1:m	1043491
Gh_D12G2610	Zm00001d015795	1:m	1043489
Gh_A03G1937	Zm00001d009495	n:1	1043477
Gh_D08G0135	Zm00001d043972	1:m	1043474
Gh_D13G2061	Zm00001d042479	n:m	1043465
Gh_D01G0248	Zm00001d033259	1:01	1043458
Gh_A09G0274	Zm00001d017216	1:m	1043443
Gh_A11G2056	Zm00001d018891	1:01	1043442
Gh_D09G1545	Zm00001d018405	1:m	1043410
Gh_D05G1042	Zm00001d012199	1:01	1043362
Gh_D11G1264	Zm00001d019171	n:m	1043315
Gh_D10G1519	Zm00001d034584	n:m	1043313
Gh_A05G2815	Zm00001d011618	n:m	1043285
Gh_A08G0631	Zm00001d005239	n:m	1043281
Gh_A10G1024	Zm00001d040810	n:m	1043277
Gh_D05G3120	Zm00001d038921	n:m	1043276
Gh_D09G0911	Zm00001d041982	1:m	1043274
Gh_A08G1825	Zm00001d018330	1:m	1043215
Gh_D11G1090	Zm00001d024759	1:m	1043214
Gh_A08G1020	Zm00001d048717	1:m	1043212
Gh_A07G0530	Zm00001d040888	1:m	1043202
Gh_A09G1555	Zm00001d008427	n:m	1043199
Gh_A11G0011	Zm00001d040163	n:m	1043196
Gh_A01G1566	Zm00001d049372	n:m	1043179
Gh_D01G1816	Zm00001d024310	n:m	1043178
Gh_A02G1084	Zm00001d004707	1:m	1043165
Gh_A12G1087	Zm00001d040686	1:m	1043163
Gh_A11G0217	Zm00001d033388	n:m	1043150
Gh_D03G0477	Zm00001d034914	n:m	1043146
Gh_A02G1342	Zm00001d012815	n:m	1043134
Gh_D08G0254	Zm00001d008743	1:m	1043122
Gh_D02G2367	Zm00001d030011	1:m	1043114
Gh_D01G2282	Zm00001d018337	1:m	1043073
Gh_D01G1721	Zm00001d044615	n:m	1043066
Gh_A13G2286	Zm00001d021147	n:m	1043057
Gh_D11G2818	Zm00001d006125	n:m	1043056
Gh_A04G1263	Zm00001d033168	1:m	1043046
Gh_D01G0626	Zm00001d006183	1:m	1043037
Gh_D01G0339	Zm00001d003430	1:m	1043021
Gh_A05G4021	Zm00001d037267	1:m	1043014
Gh_D08G2227	Zm00001d034590	n:m	1042999
Gh_A08G1866	Zm00001d013019	n:m	1042995
Gh_D01G1968	Zm00001d022466	n:m	1042976
Gh_A09G1265	Zm00001d007145	n:m	1042975
Gh_A12G2731	Zm00001d002190	1:m	1042966
Gh_A05G1235	Zm00001d036913	n:m	1042933
Gh_A10G0395	Zm00001d041322	n:m	1042921
Gh_A07G1421	Zm00001d048368	n:m	1042920
Gh_A13G1951	Zm00001d024808	n:m	1042892
Gh_D13G2345	Zm00001d048614	n:m	1042888
Gh_D07G1577	Zm00001d036055	1:m	1042877
Gh_A07G1377	Zm00001d000178	1:m	1042874
Gh_A11G0065	Zm00001d045448	n:m	1042834
Gh_D11G0069	Zm00001d028426	n:m	1042828
Gh_A05G2838	Zm00001d024342	n:m	1042825
Gh_A09G1827	Zm00001d049357	n:m	1042817
Gh_D02G0294	Zm00001d002373	n:m	1042813
Gh_D09G1948	Zm00001d026265	n:m	1042811
Gh_D09G1231	Zm00001d002737	n:m	1042803
Gh_A09G1229	Zm00001d002166	n:m	1042801
Gh_D09G1230	Zm00001d002169	n:m	1042800
Gh_D04G1371	Zm00001d003879	n:m	1042786
Gh_A04G0870	Zm00001d031674	n:m	1042785
Gh_A10G1373	Zm00001d018484	n:m	1042769
Gh_D10G1092	Zm00001d051913	n:m	1042768
Gh_A12G1408	Zm00001d001864	1:m	1042754
Gh_D03G1823	Zm00001d026224	n:m	1042700
Gh_D11G0169	Zm00001d027421	1:m	1042699
Gh_A05G0890	Zm00001d003896	n:m	1042698
Gh_D05G0973	Zm00001d017719	n:m	1042697
Gh_D07G1734	Zm00001d014079	1:m	1042696
Gh_A09G1404	Zm00001d002450	n:m	1042695
Gh_A08G1762	Zm00001d051543	n:m	1042694
Gh_D07G0133	Zm00001d018295	1:m	1042681
Gh_D13G1333	Zm00001d044488	n:m	1042656
Gh_A01G0802	Zm00001d011357	n:m	1042653
Gh_D08G2744	Zm00001d041620	1:m	1042649
Gh_A06G2081	Zm00001d043955	n:m	1042640
Gh_A10G2208	Zm00001d039038	n:m	1042639
Gh_D06G0309	Zm00001d006904	1:m	1042628
Gh_D12G0720	Zm00001d004982	1:01	1042615
Gh_D08G2173	Zm00001d013940	1:m	1042614
Gh_D04G1110	Zm00001d021788	n:m	1042394
Gh_A12G0706	Zm00001d006596	n:m	1042393
Gh_A05G3003	Zm00001d037875	n:m	1042382
Gh_D12G0055	Zm00001d034856	n:m	1042381
Gh_D04G1111	Zm00001d037882	1:01	1042379
Gh_A10G1857	Zm00001d037905	n:m	1042378
Gh_D03G1035	Zm00001d017092	n:m	1042368
Gh_D12G0719	Zm00001d009868	n:m	1042365
Gh_D09G0605	Zm00001d021815	n:m	1042361
Gh_D11G0187	Zm00001d025948	n:m	1042358
Gh_A04G0648	Zm00001d009870	n:m	1042353
Gh_D04G0803	Zm00001d046449	n:m	1042351
Gh_A03G0498	Zm00001d050969	n:m	1042348
Gh_D07G1160	Zm00001d037873	n:m	1042346
Gh_A11G0038	Zm00001d004172	n:m	1042343
Gh_A11G0177	Zm00001d002822	n:m	1042339
Gh_D10G2120	Zm00001d036904	n:m	1042335
Gh_A09G0906	Zm00001d046549	1:m	1042333
Gh_A12G2687	Zm00001d033505	1:01	1042331
Gh_A09G0606	Zm00001d006613	n:m	1042330
Gh_A04G1335	Zm00001d012770	n:m	1042329
Gh_A12G0040	Zm00001d012846	n:m	1042326
Gh_D09G1995	Zm00001d050526	n:m	1042314
Gh_D07G1365	Zm00001d013417	n:m	1042303
Gh_D10G1282	Zm00001d016479	n:m	1042301
Gh_A07G1255	Zm00001d033764	n:m	1042299
Gh_A07G1595	Zm00001d006725	n:m	1042277
Gh_D07G1791	Zm00001d013481	n:m	1042276
Gh_D09G1984	Zm00001d025193	n:m	1042270
Gh_D05G3158	Zm00001d025185	n:m	1042269
Gh_A12G0408	Zm00001d038859	n:m	1042256
Gh_D11G1165	Zm00001d037770	1:m	1042247
Gh_A08G0377	Zm00001d022462	1:m	1042224
Gh_D02G0700	Zm00001d004839	n:m	1042197
Gh_A02G0657	Zm00001d003680	n:m	1042194
Gh_A13G0897	Zm00001d037884	n:1	1042141
Gh_A09G1701	Zm00001d039221	n:m	1042102
Gh_A09G2172	Zm00001d023833	1:m	1042098
Gh_D06G1576	Zm00001d050827	1:01	1042096
Gh_A12G0885	Zm00001d029968	1:m	1042095
Gh_D10G2105	Zm00001d047896	n:m	1042093
Gh_A10G1847	Zm00001d028477	n:m	1042090
Gh_A01G0775	Zm00001d038579	1:m	1042064
Gh_A13G2202	Zm00001d010197	n:m	1042044
Gh_A12G0377	Zm00001d042673	n:m	1042043
Gh_D02G2196	Zm00001d038332	n:m	1042042
Gh_A01G2143	Zm00001d018957	n:m	1042013
Gh_D12G0855	Zm00001d013730	1:m	1042009
Gh_D03G1648	Zm00001d011263	1:m	1042002
Gh_A05G0382	Zm00001d039305	n:m	1041988
Gh_D11G0450	Zm00001d041568	n:m	1041919
Gh_A10G0881	Zm00001d019473	n:m	1041917
Gh_A02G1627	Zm00001d030691	n:m	1041915
Gh_A09G1536	Zm00001d019629	n:m	1041878
Gh_A02G1700	Zm00001d045159	1:m	1041877
Gh_D09G0876	Zm00001d012312	n:m	1041875
Gh_A13G0329	Zm00001d033328	1:m	1041865
Gh_A02G0096	Zm00001d017150	1:m	1041852
Gh_D06G1432	Zm00001d044035	n:m	1041849
Gh_D07G0595	Zm00001d009638	n:m	1041841
Gh_A08G1757	Zm00001d017139	1:m	1041829
Gh_D02G0155	Zm00001d050567	n:m	1041728
Gh_A11G1539	Zm00001d008739	1:m	1041724
Gh_A09G2428	Zm00001d028759	1:m	1041722
Gh_A02G0121	Zm00001d016572	n:m	1041720
Gh_D09G2467	Zm00001d053547	n:m	1041700
Gh_A07G1293	Zm00001d027442	1:m	1041699
Gh_A05G1290	Zm00001d046317	n:m	1041697
Gh_D05G1461	Zm00001d010016	n:m	1041696
Gh_A04G0015	Zm00001d037401	1:m	1041685
Gh_A07G1358	Zm00001d045450	1:m	1041676
Gh_D07G2219	Zm00001d016990	1:m	1041665
Gh_D05G2237	Zm00001d014715	1:m	1041653
Gh_A05G0673	Zm00001d016923	n:m	1041612
Gh_A08G1288	Zm00001d038084	1:m	1041607
Gh_D11G3538	Zm00001d014436	n:m	1041593
Gh_A03G1955	Zm00001d030126	n:m	1041591
Gh_A13G0522	Zm00001d006667	n:m	1041577
Gh_D13G0606	Zm00001d021908	n:m	1041576
Gh_A12G0590	Zm00001d051564	n:1	1041565
Gh_D07G1327	Zm00001d010171	n:m	1041543
Gh_A09G1480	Zm00001d035616	1:m	1041539
Gh_A12G0280	Zm00001d018197	1:m	1041532
Gh_A01G1767	Zm00001d010135	1:m	1041499
Gh_D13G1431	Zm00001d001939	1:m	1041498
Gh_D11G3164	Zm00001d050921	n:m	1041465
Gh_D04G0863	Zm00001d017047	n:m	1041464
Gh_D01G1232	Zm00001d050920	n:m	1041462
Gh_D13G2359	Zm00001d047843	n:m	1041458
Gh_A13G1963	Zm00001d028554	n:m	1041432
Gh_D07G0394	Zm00001d030373	n:m	1041417
Gh_A03G0649	Zm00001d020309	1:01	1041416
Gh_A01G1260	Zm00001d021419	1:m	1041394
Gh_A10G0031	Zm00001d025470	1:m	1041389
Gh_D12G1292	Zm00001d015300	n:m	1041362
Gh_D02G0553	Zm00001d045069	n:m	1041361
Gh_D09G2284	Zm00001d053864	n:m	1041358
Gh_A02G0493	Zm00001d044287	n:m	1041357
Gh_A09G0051	Zm00001d042034	1:m	1041343
Gh_A08G1429	Zm00001d008549	1:m	1041315
Gh_D06G0751	Zm00001d037768	n:m	1041179
Gh_D11G0947	Zm00001d004413	1:m	1041166
Gh_D04G1025	Zm00001d033750	n:m	1041160
Gh_A05G0242	Zm00001d043780	n:m	1041157
Gh_A09G2279	Zm00001d040235	n:m	1041151
Gh_D09G2091	Zm00001d031136	1:m	1041149
Gh_A04G0055	Zm00001d028220	1:m	1041147
Gh_A12G2082	Zm00001d002711	1:m	1041135
Gh_D09G1344	Zm00001d013427	n:m	1041133
Gh_A01G0724	Zm00001d031637	n:m	1041031
Gh_A13G2153	Zm00001d022238	n:m	1041023
Gh_D04G1690	Zm00001d037163	n:m	1041022
Gh_A09G2232	Zm00001d033986	n:m	1041021
Gh_D10G1498	Zm00001d013290	n:m	1041020
Gh_A07G2093	Zm00001d031602	n:m	1041009
Gh_D09G0355	Zm00001d006084	n:m	1040957
